frontUserName,content,memberLevel,star,itemId,cup,color
m****3,还没穿，也不知道合不合身，也不知道好不好穿。希望严选一如既往地保证质量，我们才会继续在上面买买买。,5,5,1616018,80A,深杏色
姚****谦,一直关注这个没有钢圈的内衣很久了，这次搞活动先买一个试试，之前看过网评决定还是买大一号（原先75C）果然带着正好，东西非常好，也很舒服。等下次搞活动再买黑色的👍,5,5,1616018,80C,深杏色
晚****,"超级喜欢网易严选，从来没有踩过雷东西都特别好，包装特别简洁深得我心，还每次都给我发顺丰，超级棒[中國贊] ​

V.  X.     ayudaixia 
找我买  可以打.7.折.  严选.发.货",6,5,1616018,85C,深杏色
l****i,很舒服 面料手感柔软 因为太瘦 罩杯合适 但后背穿着有些松 希望能够设计70A的Bra,3,5,1616018,75A,深杏色
m****5,没想到买个内衣还这么合适，真的推荐。柔软舒适。限时购很实惠。,6,5,1616018,80B,黑色
1****9,聚拢效果非常好，确实感觉要比平时买大一个码才能穿,3,5,1616018,80A,深杏色
1****3,第二次购买，前期买过裸色，这次买了黑色，还行,6,5,1616018,75A,黑色
1****1,这次双11，买的都是居家用品，挺好的，很喜欢，很喜欢这个文胸，买了两个了，下次继续,3,5,1616018,85C,深杏色
g****h,码数确实偏小一点，但买大了又会空杯。面料光滑柔软，手感不错。颜色接近肤色。薄杯，没那么贴身。,4,4,1616018,75C,深杏色
1****8,严选的产品是真的很好，好的生活不贵。希望严选一直能坚持这个广告语的品质。会继续支持的。,3,5,1616018,85C,深杏色
1****8,太棒了！出乎意料的好好。,4,5,1616018,80B,黑色
于****,本打算用着试试，没想到很满意，塑形效果好，马上又买了一个，第二天就到了,5,5,1616018,85C,深杏色
m****0,好担心这款文胸是否能穿，没想到太出乎意料了，塑型特别好，并且非常舒服，值得拥有！准备再买一个,3,5,1616018,85C,深杏色
1****1,第一次在严选上购买内衣，看着还不错，料子很舒服，下次继续购买别的颜色,3,5,1616018,85C,黑色
m****5,之前买了黑色，这次有优惠就又买了卡其色，集中，柔软，不滑动，小xiong福利,4,5,1616018,80A,深杏色
m****0,超级好穿，舒服，买了三个，穿75c的这个必须穿80c的。,5,5,1616018,80C,黑色
Z****S,太好穿了，非常贴合，塑型效果非常棒，立马再入两个！,6,5,1616018,85C,深杏色
g****0,物流超快，昨儿晚上下单今天中午就到了，很满意～,5,5,1616018,85C,黑色
f****e,买给老婆的，试了下料子很舒服，很合身，非常满意,5,5,1616018,80B,黑色
小****兽,"1、款式、手感不错，聚拢效果可以；
2、如图，材质容易吸尘，擦不掉；
3、适合秋冬季节，不透气；
4、给妈妈买的，她不太满意。",5,5,1616018,80B,黑色
何****秀,有点小遗憾，买大了一个码，，手感蛮好的,3,5,1616018,85C,深杏色
红****,偏小一码的，拍大一个码刚刚好，穿着舒适,6,5,1616018,80A,黑色
1****0,看看还可以,2,5,1616018,80C,黑色
k****,还行，有点空杯,5,4,1616018,75B,黑色
z****6,好好好,5,5,1616018,85C,深杏色
z****6,好好好,5,5,1616018,85C,黑色
杏****杏,物流很快服务态度很好很喜欢面料很舒服,4,5,1616018,85B,黑色
杏****杏,物流很快服务态度很好，很喜欢，面料很舒适，,4,5,1616018,80C,黑色
1****7,品质和颜色都很好！值得！,3,5,1616018,85C,深杏色
1****7,品质真不错，适合成年人！,3,5,1616018,85C,黑色
鸽****A,内衣很舒服。好评！,4,5,1616018,75B,黑色
l****r,很好，舒服还有形。,6,5,1616018,85B,黑色
1****8,下次再买个黑色的换着穿哦。,5,5,1616018,85C,深杏色
荆****鸟,试了试，满意！,4,5,1616018,75B,深杏色
1****1,面料柔软丝滑，穿上也很舒服，吼吼吼,4,5,1616018,85C,深杏色
m****7,非常好，贴身，许久没买到如此舒适的内衣了，买了一件又一件,6,5,1616018,80C,深杏色
怂****宝,给媳妇买的，不知道合适不，晚上看结果吧！,6,5,1616018,80B,黑色
1****8,看到太多好评，买个试试看，结果出乎意料，,6,5,1616018,85C,深杏色
1****3,很好，挺满意的，,3,5,1616018,75B,黑色
車****,回购回购再回购,4,5,1616018,80B,深杏色
Y****芽,,4,5,1616018,80C,深杏色
美****瑕,比较扁，有些压胸，不过手感确实一流。,5,5,1616018,80B,深杏色
1****3,内衣是厚款💔💔💔🙄🙄🙄💔💔💔,4,5,1616018,80A,黑色
w****8,超级满意，简直就是量身定做。,4,5,1616018,80A,深杏色
1****9,棒棒哒～质感质量很好,3,5,1616018,75A,黑色
1****9,舒适，满意！,6,5,1616018,85B,黑色
1****5,质量好，样式好，最主要穿戴效果真的好好。,4,5,1616018,75B,黑色
1****8,质量很好，舒服,5,5,1616018,85C,深杏色
1****8,很舒服，非常好,5,5,1616018,85C,黑色
1****9,质量好，穿着舒服，尺寸标准👍😊第2次😀买5颗星。,5,5,1616018,80C,黑色
1****8,一口气买了三个，没失望。,4,5,1616018,80B,深杏色
m****1,质量很好，码小了点，需要的可选大一码,6,5,1616018,80A,深杏色
甜****鱼,还不错。内衣质量确实很好。粉丝节购买也很划算。这个内衣聚拢效果是很棒的，不输给一线大牌的黛安芬之类的内衣。,4,5,1616018,80B,深杏色
苏****,果然双倍的价格品质确实不一样哦。比之前买的99款更贴身和收乳。么么哒,5,5,1616018,75C,深杏色
1****8,产品刚收到，尺码很合适，愉快的购物体验。,3,5,1616018,80B,黑色
1****7,亲肤，聚拢效果非常棒,4,5,1616018,80B,深杏色
W****r,穿着舒适，就像穿着一件内衣背心一样，赞👍,4,5,1616018,80C,深杏色
1****4,非常舒服～棒,5,5,1616018,85C,黑色
1****4,非常舒服，开心,5,5,1616018,85C,深杏色
m****0,第二次购买，塑型和面料柔软度都比优衣库好！,3,5,1616018,85C,黑色
大****,收到,6,5,1616018,80B,黑色
问****,,3,5,1616018,85C,深杏色
于****,买了第三个了,5,5,1616018,85C,深杏色
马****彦,一直很关注胸衣，因为自己大胸，每次都要去实体店试了。这次看严选上可以退换，抱着试一下的心态，最大号可以穿。很喜欢，等一段时间看看效果,4,5,1616018,85C,深杏色
W****r,连续四天连着买，穿的服帖真棒👍,4,5,1616018,80C,黑色
古****涯,都收到啦，很开心，衣裤收到都合适，满意！,5,5,1616018,75B,深杏色
m****0,第三次购买，确实不错,5,5,1616018,80B,黑色
t****x,客观的说，真的是我穿过的最舒服的内衣咯。,5,5,1616018,75B,黑色
王****,这个不太理想，码有点小，穿着紧不太舒服，聚拢效果不错，做工真心不错,3,5,1616018,80B,深杏色
程****乐,舒服好穿，推荐,5,5,1616018,75C,深杏色
1****1,喜欢,4,5,1616018,75C,黑色
A****）,蛮好,5,5,1616018,80C,黑色
于****,第二件了，满意,5,5,1616018,85C,深杏色
1****2,,5,5,1616018,75B,深杏色
