Unnamed: 0,frontUserName,frontUserAvatar,content,createTime,picList,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
0,m****3,,还没穿，也不知道合不合身，也不知道好不好穿。希望严选一如既往地保证质量，我们才会继续在上面买买买。,1561266635776,['https://yanxuan.nosdn.127.net/fbc73880140cc025b3a02e9a77493f4d.jpg'],,5,,5,1616018,深杏色,80A
1,姚****谦,https://yanxuan.nosdn.127.net/124a359836335c3b0953b57521f9d221,一直关注这个没有钢圈的内衣很久了，这次搞活动先买一个试试，之前看过网评决定还是买大一号（原先75C）果然带着正好，东西非常好，也很舒服。等下次搞活动再买黑色的👍,1554383629641,['https://yanxuan.nosdn.127.net/2d49d738f8f99de8f83e726f85dedc1a.jpg'],,5,,5,1616018,深杏色,80C
2,啾****,https://yanxuan.nosdn.127.net/ec86f3aaff5288fd14e1c39c91aa55da.jpg,特别喜欢喜欢喜欢 质量非常好 颜值很高 一看做工就不一般 大牌质量 价格很便宜 性价比很高 好的生活没那么贵 推荐了很多朋友 都夸严选的东西 口碑不错 严选赞赞赞,1567322942802,[],,6,"{'id': 97947911, 'createTime': 1572701861969, 'content': '超级喜欢网易严选，从来没有踩过雷东西都特别好，包装特别简洁深得我心，还每次都给我发顺丰，超级棒[中國贊] \u200b\n\nV.  X.     ayudaixia \n找我买  可以打.7.折.  严选.发.货', 'picList': ['https://yanxuan.nosdn.127.net/f6bf948f38461a950cb29c89378dd3bc.jpg', 'https://yanxuan.nosdn.127.net/71b93cd23e33a403590e2b1ff63150ac.jpg'], 'commentReplyVO': None}",5,1616018,深杏色,75B
3,l****i,https://yanxuan.nosdn.127.net/6f0aa1e50d0bfd3156837a5544619015.jpg,很舒服 面料手感柔软 因为太瘦 罩杯合适 但后背穿着有些松 希望能够设计70A的Bra,1559561426164,['https://yanxuan.nosdn.127.net/e727ee235c4eca1d17e40375c4993912.jpg'],,3,,5,1616018,深杏色,75A
4,m****5,,没想到买个内衣还这么合适，真的推荐。柔软舒适。限时购很实惠。,1568353582682,['https://yanxuan.nosdn.127.net/5a2f9312f4a0c4c0e130cd61e65dda9d.jpg'],,6,,5,1616018,黑色,80B
5,1****9,,聚拢效果非常好，确实感觉要比平时买大一个码才能穿,1566218454185,"['https://yanxuan.nosdn.127.net/2583b701245717bb9c4d0918496d1414.jpg', 'https://yanxuan.nosdn.127.net/96e77b51c864e16c8a05e860ffaf9185.jpg']",,3,,5,1616018,深杏色,80A
6,1****3,https://yanxuan.nosdn.127.net/a2100d491f638ec277d80fc771815a57.jpg,第二次购买，前期买过裸色，这次买了黑色，还行,1568085259530,['https://yanxuan.nosdn.127.net/834e4c545631630e2ca88d69f8008525.jpg'],,6,,5,1616018,黑色,75A
7,g****h,https://yanxuan.nosdn.127.net/3a7d911bd60ddd75b7dab5758d8c879b.jpg,码数确实偏小一点，但买大了又会空杯。面料光滑柔软，手感不错。颜色接近肤色。薄杯，没那么贴身。,1573256678882,"['https://yanxuan.nosdn.127.net/bc87d8f3de18cd4e93c189b38978be09.jpg', 'https://yanxuan.nosdn.127.net/e9232dfa388314d040f8d0862fcbd042.jpg', 'https://yanxuan.nosdn.127.net/5b5242219c2656f560da229c0177dafa.jpg']",,4,,4,1616018,深杏色,75C
8,1****8,,严选的产品是真的很好，好的生活不贵。希望严选一直能坚持这个广告语的品质。会继续支持的。,1573132779885,['https://yanxuan.nosdn.127.net/cb91747036083a535f10bcdb42d15479.jpg'],,3,,5,1616018,深杏色,85C
9,1****8,,太棒了！出乎意料的好好。,1563539003455,['https://yanxuan.nosdn.127.net/357624c986f6f0e63550eacc2e0ef390.jpg'],,4,,5,1616018,黑色,80B
10,于****,https://yanxuan.nosdn.127.net/fe6e757b9503179459da11739443f63e.jpg,本打算用着试试，没想到很满意，塑形效果好，马上又买了一个，第二天就到了,1560169266138,['https://yanxuan.nosdn.127.net/571139cdd9258ba274f5e646e7cf7ea7.jpg'],,5,,5,1616018,深杏色,85C
11,m****0,,好担心这款文胸是否能穿，没想到太出乎意料了，塑型特别好，并且非常舒服，值得拥有！准备再买一个,1559456986318,['https://yanxuan.nosdn.127.net/bbcbbaaf7e09ca23fc7fb19aca54e337.jpg'],,3,,5,1616018,深杏色,85C
12,1****1,,第一次在严选上购买内衣，看着还不错，料子很舒服，下次继续购买别的颜色,1571233457853,"['https://yanxuan.nosdn.127.net/9ce5f25db39dc6a8e21b699a0ea01d6f.jpg', 'https://yanxuan.nosdn.127.net/f2fedd89d618d12ddc45086a006f21fb.jpg', 'https://yanxuan.nosdn.127.net/f42b8d3fc08aa547e2198e364eec2670.jpg', 'https://yanxuan.nosdn.127.net/ba63c2884e88c936124da73994102508.jpg']",,3,,5,1616018,黑色,85C
13,m****5,https://yanxuan.nosdn.127.net/c960f12553c3d2448f869ba1ae27be3a.jpg,之前买了黑色，这次有优惠就又买了卡其色，集中，柔软，不滑动，小xiong福利,1562124769734,['https://yanxuan.nosdn.127.net/cd76a185a458a4264a1f771e02f82e99.jpg'],,4,,5,1616018,深杏色,80A
14,m****0,https://yanxuan.nosdn.127.net/3a590ba2cff10c9483800bf097ab4856.jpg,超级好穿，舒服，买了三个，穿75c的这个必须穿80c的。,1569422631310,['https://yanxuan.nosdn.127.net/f90200a3771766fe24ce3528d29439eb.jpg'],,5,,5,1616018,黑色,80C
