frontUserName,content,createTime,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
m****3,还没穿，也不知道合不合身，也不知道好不好穿。希望严选一如既往地保证质量，我们才会继续在上面买买买。,1561266635776,,5,,5,1616018,深杏色,80A
姚****谦,一直关注这个没有钢圈的内衣很久了，这次搞活动先买一个试试，之前看过网评决定还是买大一号（原先75C）果然带着正好，东西非常好，也很舒服。等下次搞活动再买黑色的👍,1554383629641,,5,,5,1616018,深杏色,80C
啾****,特别喜欢喜欢喜欢 质量非常好 颜值很高 一看做工就不一般 大牌质量 价格很便宜 性价比很高 好的生活没那么贵 推荐了很多朋友 都夸严选的东西 口碑不错 严选赞赞赞,1567322942802,,6,"{'id': 97947911, 'createTime': 1572701861969, 'content': '超级喜欢网易严选，从来没有踩过雷东西都特别好，包装特别简洁深得我心，还每次都给我发顺丰，超级棒[中國贊] \u200b\n\nV.  X.     ayudaixia \n找我买  可以打.7.折.  严选.发.货', 'picList': ['https://yanxuan.nosdn.127.net/f6bf948f38461a950cb29c89378dd3bc.jpg', 'https://yanxuan.nosdn.127.net/71b93cd23e33a403590e2b1ff63150ac.jpg'], 'commentReplyVO': None}",5,1616018,深杏色,75B
l****i,很舒服 面料手感柔软 因为太瘦 罩杯合适 但后背穿着有些松 希望能够设计70A的Bra,1559561426164,,3,,5,1616018,深杏色,75A
m****5,没想到买个内衣还这么合适，真的推荐。柔软舒适。限时购很实惠。,1568353582682,,6,,5,1616018,黑色,80B
1****9,聚拢效果非常好，确实感觉要比平时买大一个码才能穿,1566218454185,,3,,5,1616018,深杏色,80A
1****3,第二次购买，前期买过裸色，这次买了黑色，还行,1568085259530,,6,,5,1616018,黑色,75A
g****h,码数确实偏小一点，但买大了又会空杯。面料光滑柔软，手感不错。颜色接近肤色。薄杯，没那么贴身。,1573256678882,,4,,4,1616018,深杏色,75C
1****8,严选的产品是真的很好，好的生活不贵。希望严选一直能坚持这个广告语的品质。会继续支持的。,1573132779885,,3,,5,1616018,深杏色,85C
1****8,太棒了！出乎意料的好好。,1563539003455,,4,,5,1616018,黑色,80B
于****,本打算用着试试，没想到很满意，塑形效果好，马上又买了一个，第二天就到了,1560169266138,,5,,5,1616018,深杏色,85C
m****0,好担心这款文胸是否能穿，没想到太出乎意料了，塑型特别好，并且非常舒服，值得拥有！准备再买一个,1559456986318,,3,,5,1616018,深杏色,85C
